Hoboken (Departure),Newport (Departure),Exchange (Departure),WTC (Arrival)
6:15 AM,6:19 AM,6:22 AM,6:26 AM
6:25 AM,6:29 AM,6:32 AM,6:36 AM
6:35 AM,6:39 AM,6:42 AM,6:46 AM
6:45 AM,6:49 AM,6:52 AM,6:56 AM
6:55 AM,6:59 AM,7:02 AM,7:06 AM
7:05 AM,7:09 AM,7:12 AM,7:16 AM
7:15 AM,7:19 AM,7:22 AM,7:26 AM
7:25 AM,7:29 AM,7:32 AM,7:36 AM
7:34 AM,7:38 AM,7:41 AM,7:45 AM
7:42 AM,7:46 AM,7:49 AM,7:53 AM
7:50 AM,7:54 AM,7:57 AM,8:01 AM
7:58 AM,8:02 AM,8:05 AM,8:09 AM
8:06 AM,8:10 AM,8:13 AM,8:17 AM
8:14 AM,8:18 AM,8:21 AM,8:25 AM
8:22 AM,8:26 AM,8:29 AM,8:33 AM
8:30 AM,8:34 AM,8:37 AM,8:41 AM
8:38 AM,8:42 AM,8:45 AM,8:49 AM
8:46 AM,8:50 AM,8:53 AM,8:57 AM
8:54 AM,8:58 AM,9:01 AM,9:05 AM
9:02 AM,9:06 AM,9:09 AM,9:13 AM
9:10 AM,9:14 AM,9:17 AM,9:21 AM
9:18 AM,9:22 AM,9:25 AM,9:29 AM
9:26 AM,9:30 AM,9:33 AM,9:37 AM
9:34 AM,9:38 AM,9:41 AM,9:45 AM
9:43 AM,9:47 AM,9:50 AM,9:54 AM
9:53 AM,9:57 AM,10:00 AM,10:04 AM
10:04 AM,10:08 AM,10:11 AM,10:15 AM
10:19 AM,10:23 AM,10:26 AM,10:30 AM
10:34 AM,10:38 AM,10:41 AM,10:45 AM
10:49 AM,10:53 AM,10:56 AM,11:00 AM
11:04 AM,11:08 AM,11:11 AM,11:15 AM
11:19 AM,11:23 AM,11:26 AM,11:30 AM
11:34 AM,11:38 AM,11:41 AM,11:45 AM
11:49 AM,11:53 AM,11:56 AM,12:00 PM
12:04 PM,12:08 PM,12:11 PM,12:15 PM
12:19 PM,12:23 PM,12:26 PM,12:30 PM
12:34 PM,12:38 PM,12:41 PM,12:45 PM
12:49 PM,12:53 PM,12:56 PM,1:00 PM
1:04 PM,1:08 PM,1:11 PM,1:15 PM
1:19 PM,1:23 PM,1:26 PM,1:30 PM
1:34 PM,1:38 PM,1:41 PM,1:45 PM
1:49 PM,1:53 PM,1:56 PM,2:00 PM
2:04 PM,2:08 PM,2:11 PM,2:15 PM
2:19 PM,2:23 PM,2:26 PM,2:30 PM
2:34 PM,2:38 PM,2:41 PM,2:45 PM
2:49 PM,2:53 PM,2:56 PM,3:00 PM
3:03 PM,3:07 PM,3:10 PM,3:14 PM
3:16 PM,3:20 PM,3:23 PM,3:27 PM
3:29 PM,3:33 PM,3:36 PM,3:40 PM
3:42 PM,3:46 PM,3:49 PM,3:53 PM
3:54 PM,3:58 PM,4:01 PM,4:05 PM
4:06 PM,4:10 PM,4:13 PM,4:17 PM
4:16 PM,4:20 PM,4:23 PM,4:27 PM
4:26 PM,4:30 PM,4:33 PM,4:37 PM
4:36 PM,4:40 PM,4:43 PM,4:47 PM
4:46 PM,4:50 PM,4:53 PM,4:57 PM
4:55 PM,4:59 PM,5:02 PM,5:06 PM
5:03 PM,5:07 PM,5:10 PM,5:14 PM
5:11 PM,5:15 PM,5:18 PM,5:22 PM
5:19 PM,5:23 PM,5:26 PM,5:30 PM
5:27 PM,5:31 PM,5:34 PM,5:38 PM
5:35 PM,5:39 PM,5:42 PM,5:46 PM
5:43 PM,5:47 PM,5:50 PM,5:54 PM
5:51 PM,5:55 PM,5:58 PM,6:02 PM
5:59 PM,6:03 PM,6:06 PM,6:10 PM
6:07 PM,6:11 PM,6:14 PM,6:18 PM
6:15 PM,6:19 PM,6:22 PM,6:26 PM
6:23 PM,6:27 PM,6:30 PM,6:34 PM
6:31 PM,6:35 PM,6:38 PM,6:42 PM
6:39 PM,6:43 PM,6:46 PM,6:50 PM
6:49 PM,6:53 PM,6:56 PM,7:00 PM
7:01 PM,7:05 PM,7:08 PM,7:12 PM
7:13 PM,7:17 PM,7:20 PM,7:24 PM
7:25 PM,7:29 PM,7:32 PM,7:36 PM
7:37 PM,7:41 PM,7:44 PM,7:48 PM
7:49 PM,7:53 PM,7:56 PM,8:00 PM
8:01 PM,8:05 PM,8:08 PM,8:12 PM
8:13 PM,8:17 PM,8:20 PM,8:24 PM
8:25 PM,8:29 PM,8:32 PM,8:36 PM
8:37 PM,8:41 PM,8:44 PM,8:48 PM
8:49 PM,8:53 PM,8:56 PM,9:00 PM
9:01 PM,9:05 PM,9:08 PM,9:12 PM
9:13 PM,9:17 PM,9:20 PM,9:24 PM
9:28 PM,9:32 PM,9:35 PM,9:39 PM
9:43 PM,9:47 PM,9:50 PM,9:54 PM
9:58 PM,10:02 PM,10:05 PM,10:09 PM
10:13 PM,10:17 PM,10:20 PM,10:24 PM
10:28 PM,10:32 PM,10:35 PM,10:39 PM
10:43 PM,10:47 PM,10:50 PM,10:54 PM
10:58 PM,11:02 PM,11:05 PM,11:09 PM
11:13 PM,11:17 PM,11:20 PM,11:24 PM
