JSQ (Departure),Grove St (Departure),Newport (Departure),Hoboken (Departure),Chris St (Departure),9 St (Departure),14 St (Departure),23 St (Departure),33 (Arrival) St
12:10 AM,12:14 AM,12:18 AM,12:26 AM,12:35 AM,---,12:38 AM,---,12:41 AM
12:50 AM,12:54 AM,12:58 AM,1:06 AM,1:15 AM,---,1:18 AM,---,1:21 AM
1:30 AM,1:34 AM,1:38 AM,1:46 AM,1:55 AM,---,1:58 AM,---,2:01 AM
2:10 AM,2:14 AM,2:18 AM,2:26 AM,2:35 AM,---,2:38 AM,---,2:41 AM
2:50 AM,2:54 AM,2:58 AM,3:06 AM,3:15 AM,---,3:18 AM,---,3:21 AM
3:30 AM,3:34 AM,3:38 AM,3:46 AM,3:55 AM,---,3:58 AM,---,4:01 AM
4:10 AM,4:14 AM,4:18 AM,4:26 AM,4:35 AM,---,4:38 AM,---,4:41 AM
4:50 AM,4:54 AM,4:58 AM,5:06 AM,5:15 AM,5:16 AM,5:18 AM,5:19 AM,5:22 AM
5:25 AM,5:29 AM,5:33 AM,5:41 AM,5:50 AM,5:51 AM,5:53 AM,5:54 AM,5:57 AM
5:39 AM,5:43 AM,5:47 AM,5:55 AM,6:04 AM,6:05 AM,6:07 AM,6:08 AM,6:11 AM
10:42 PM,10:46 PM,10:50 PM,10:58 PM,11:07 PM,11:08 PM,11:10 PM,11:11 PM,11:14 PM
11:00 PM,11:04 PM,11:08 PM,11:16 PM,11:25 PM,11:26 PM,11:28 PM,11:29 PM,11:32 PM
11:20 PM,11:24 PM,11:28 PM,11:36 PM,11:45 PM,11:46 PM,11:48 PM,11:49 PM,11:52 PM
11:40 PM,11:44 PM,11:48 PM,11:56 PM,12:05 AM,12:06 AM,12:08 AM,12:09 AM,12:12 AM
